video_id,comments_disabled,ratings_disabled
p2hJxyF7mok,False,False
CahQhevkcCM,False,False
m8Dqg8iz5Fo,False,False
j8rtMlDTJes,False,False
7oRdswHqaf8,False,False
FKiuTRS5R-4,False,False
Y6sVQu-6uL0,False,False
HicAnFGE9bA,False,False
g5c1bk8weaQ,False,False
mQ8sFRuDyiU,False,False
G03bNA-gpXE,False,False
tE5C3O71Xqo,True,False
UVNIEszp2UQ,False,False
8qW6fjiMhgo,False,True
Nd3zqXro_P0,False,False
eIAtHvzjk98,False,False
f_jTeuajas0,False,False
CVPp5FtQN8E,False,False
UddlsDsoIWs,False,False
ilTHiqAmuX8,False,False
vY_5EvoL1Is,False,False
8h2rlhsN9DI,False,False
STVXHhTdjW4,False,False
KxdXruUUSIM,False,False
0Nip-J6u8C0,True,False
mwgUesU1pz4,False,False
VwAnsAUYnw4,False,False
04aPsalAZQI,False,False
v0e9MS26QmA,False,False
k55Hm59emgw,False,False
u6GnElEnaqQ,False,False
64IIfxDrhJY,False,False
QB6TuFGuxj4,False,False
FPXXy-rGq-M,False,False
oS2MW3YIJew,False,False
gA-NDZb29I4,False,False
khPLWaBioOs,False,False
JRzZl_nq6fk,False,False
QsK6c2dRhv0,False,False
c1npkEoEtos,False,False
drQXdm02oCg,False,False
OsSKFlk8oEo,False,False
L4pkD78oKSo,False,False
RF-Mqs2qC-M,False,False
tlqXVsoiwd8,False,False
KxywNVLAf5o,False,False
WKcYTvyoidw,False,False
A34u94sPuKg,False,False
mN-rI2I0HaQ,False,False
exsOim0Lyl4,False,False
Padm4JItZPw,False,False
azFsk42kb5E,False,False
KcFQfFB5LDA,False,False
FMXdXCYvLQQ,False,False
9JQ2gHDPnDY,False,False
y6KYFcta4SE,False,False
c8W-auqg024,False,False
zG3PLW534Wg,False,False
1sqyuXCwcBA,False,False
pjuPpVLXDQg,False,False
BOQ-wZQhZZo,False,False
AcoALQl7jfA,False,False
vW7H-DKivX8,False,False
0aFhzGEBQlk,False,False
3yy-dKTmyOo,False,False
flLc6LmAG6c,False,False
ai6NByMmCVU,False,False
qLaGCduQKGM,False,False
LymuZ8abvmc,False,False
KUSc7aScV9w,False,False
-9rdDeWzvsU,False,False
PtPNGls_sUg,False,False
0r-zYs6NQu8,False,False
2--Pg-y3xNk,False,False
lHNmUUi6LzM,False,False
Tk338VXcb24,False,False
l_lblj8Cq0o,False,False
CNBGEWRdeIM,False,False
WyZz9muaKFc,False,False
_xwX82Y0Oro,False,False
UelDrZ1aFeY,False,False
qxVQ7ZEG1RU,False,False
TaTleo4cOs8,False,False
OGPsw2f_HQk,False,False
KijVBPwHhio,False,False
5-l84AgchWA,False,False
yA4xvRkZYjs,False,False
eZFvbili87g,False,False
Ep6-bNu16_I,False,False
1Wk8ZRgXQnY,False,False
0H-JHIGRRNM,False,False
1MGNw-Y2QPk,False,False
KVit4vSAMsk,False,False
s1cpCfX-mgo,False,False
djJ6GAplhFU,False,False
G4BxOhJOmUw,False,False
8WbxbqwdWog,False,True
EKkzbbLYPuI,False,False
wENhHnJI1ys,False,False
mMzKvVtrC6U,False,False
YiSsAjNtsFc,False,False
8x7UtZKwfHA,False,False
m7lFyINZlBs,False,False
PTQMog9u2Zo,True,False
LN-m0Ci8MZ8,False,False
gtprpculjrQ,False,False
IlkBLwl4aBM,False,False
tclPO3kOlfM,False,False
f2MZnJlDJ4c,False,False
B4C10LKAcZQ,False,False
GkgkP0ARxd0,False,False
mto2mNFbrps,False,False
lGEY8IulWiA,False,False
ObDgFUTP0PA,False,False
dBTKW8NKAt4,False,False
s0Uxzh1E94U,False,False
IuYFvaNHJug,False,False
J_CFBjAyPWE,False,False
Pr6zjrF0Djg,False,False
4Uhe7pNqCFo,False,False
cIriwVhRPVA,False,False
rBFyZRQ9Jeg,False,False
v3O9vNi-dkA,False,False
bg7RjxsghNY,False,False
OTHHeIAYfuU,False,False
an6dsm86Kn4,False,False
agUg8Fyv-1A,False,False
GyDq6ZD4VBo,False,False
sFMehG2tDcA,False,False
hkFYWyy9Jek,False,False
jPEYpryMp2s,False,False
0gwkMY-mzUQ,False,False
rz4Dd1I_fX0,False,False
kD3XrTz8G8Q,False,False
eRphuaJ9iJ8,False,False
GBhrvR838Ag,False,False
TYFAkFxeukE,False,False
9DUfFHaUpxg,False,False
MuPL-PSMX0Q,False,False
GxLYCKB8v2w,False,False
Sqbv7cCM5AI,False,False
Yhea380bYp0,False,False
1x77e4XvqZ4,False,False
RQOgG4MLh1I,True,False
cXOZLskXCog,False,False
Qofj8MKO6mk,False,False
nWC0PkHB8O4,False,False
OPi9nTE70aA,False,False
qhuKvMRqsk8,False,False
Sb_hCbZ80aQ,False,False
MKc22HuE_94,False,False
A8QY1IRPGTY,False,False
uiZprtMUyCM,False,False
7xN52zQzYy8,False,False
TncLBbJ8SZo,False,False
wW4JB9tjlik,False,False
AvFNCNOyZeE,False,False
OGdfc7MA_qY,False,False
3ILxrRlf3KY,False,False
7ZhaNwZbco8,False,False
i4YQRLQVixM,False,False
UpGPcHrVUZI,False,False
