video_id,total_views,total_likes,total_comments,comments_disabled,ratings_disabled
pKkf2KCc6xo,10187747,47517,6353,False,False
C6SZa5U8sIg,10083696,430160,31889,False,False
9jRtpMKLsts,9992803,230507,60041,False,False
H7gh2fmdjCU,9912584,151941,4716,False,False
8X2kIfS6fb8,9893438,247947,29216,False,False
9wg3v-01yKQ,9632678,810895,59473,False,False
YLPNjaAOrBw,9627575,1007,264,False,False
iQp1_GfDhwQ,9617950,89910,2507,False,False
sIMChzE_aCo,9572037,19001,2133,False,False
elwTgpHlty0,9537066,406136,21468,False,False
5GHXEGz3PJg,9534322,156895,5564,False,False
cSp1dM2Vj48,9523267,154281,29706,False,False
dNW0B0HsvVs,9328292,186188,40520,False,False
CxGUmtRLm5g,9293828,20467,3240,False,False
KONe4SNFA64,9233435,605954,26319,False,False
r-i6XpcL1Fs,9220058,109125,23799,False,False
V1Pl8CzNzCw,9208165,308653,10677,False,False
tJfDBSWYqU8,9178923,34312,10150,False,False
M4vnmgZLA8s,9164600,196128,19152,False,False
J2m7EUwnqGg,9049098,79282,0,True,False
MFWF9dU5Zc0,9039407,89974,30516,False,False
dKoIPuifJvE,9020750,6126,772,False,False
rxmtHVSVjdo,9019459,287024,16985,False,False
CUNq2_VjRn4,9001804,377623,30707,False,False
AiH3nDqWr9I,8999134,147103,19063,False,False
ii3n7hYQOl4,8977497,161462,27375,False,False
-Qv6p6pTz5I,8955556,233690,15097,False,False
9oyKePWRi8Y,8930421,360921,18243,False,False
vecSVX1QYbQ,8876920,495588,57467,False,False
8_rTIAOohas,8842980,284040,24559,False,False
n5LoVcVsiSQ,8837197,33724,8041,False,False
h_O8ZvB3uEk,8806173,235339,15057,False,False
2tDKp41nrw8,8753550,1431724,125168,False,False
OrnpSe4OChM,8751813,215764,15989,False,False
WfPu9Jrcpuk,8739175,190988,6656,False,False
Ml9v3wHLuWI,8734726,258964,19905,False,False
FFsp5b4AUTE,8718657,91398,21050,False,False
vDtyaRoonx4,8715134,395480,66464,False,False
56KYMMGudcU,8617757,369736,92488,False,False
Qcj15vHJTtk,8607264,66559,8382,False,False
sjVqDg32_8s,8556235,53882,4938,False,False
DSRSgMp5X1w,8538280,192354,29419,False,False
baj6llvgpWA,8470806,139599,8771,False,False
zxwfDlhJIpw,8442986,166520,48467,False,False
L3ymBk6Vb04,8408515,331934,12519,False,False
iN8zmmCRqUA,8403143,161689,20545,False,False
gR0pSSISaVk,8395058,63016,5964,False,False
k5TqNsr6YuQ,8335017,498384,39803,False,False
qfqVkEYQ1Ls,8304593,70922,7966,False,False
v7H_Or9Nr5I,8300584,266267,14617,False,False
Dan2YMDCpms,8261252,364224,25064,False,False
1PhPYr_9zRY,8259128,645888,62610,False,False
fUyU3lKzoio,8258089,188886,33950,False,False
Txlk7PiHaGk,8244106,355445,22941,False,False
fN5HV79_8B8,8159690,142149,29351,False,False
BQ_0QLL2gqI,8076063,214451,5863,False,False
Jw1Y-zhQURU,8041928,60434,9479,False,False
EhSXsTSNDyo,8025153,381842,27379,False,False
lGEY8IulWiA,7999926,372667,27913,False,False
p_IwENcMPOA,7987051,105719,3813,False,False
LgmxMuW6Fsc,7967275,91200,5805,False,False
MLVcmQ62luE,7965486,207832,12686,False,False
F4qfN5UeFvQ,7964424,357641,22794,False,False
6Q0AazVu1Tc,7957820,110407,0,True,False
Ept29ceiVfk,7941440,45248,2503,False,False
rhhQS3ns6HU,7935379,711348,193355,False,False
J75enyWdbBM,7915761,101493,4079,False,False
3eQP6JoxtKk,7862567,146603,32632,False,False
Tn8hOPeAnIM,7854612,185632,52364,False,False
Q5KmA3Xbmqo,7839668,352352,46624,False,False
WAwRrtH-4Lg,7797284,386330,80500,False,False
t5_dSCu_mLY,7757967,630523,210605,False,False
zi_6oaQyckM,7721222,362970,22358,False,False
425M4M3Opkk,7714606,147739,18531,False,False
CZkUNPBlJIQ,7701371,179872,9206,False,False
5_-NKRVn7IQ,7676863,180749,23497,False,False
UKserM-i0_A,7676068,230427,22924,False,False
FhllRWReNEE,7645235,402569,383762,False,False
3yy-dKTmyOo,7628116,85230,13141,False,False
_rB36UGoP4Y,7627332,73086,11318,False,False
oMCijY1XGlQ,7547432,444203,40677,False,False
_zCDvOsdL9Q,7518982,319493,13582,False,False
z1Fvrmf4BXc,7497772,290623,31604,False,False
ixxR3ZoqnF0,7475081,1035003,86912,False,False
HgknAaKNaMM,7441922,112910,6276,False,False
xJrOUJpCxOE,7418792,324091,14554,False,False
305ryPvU6A8,7365395,98457,0,True,False
c8W-auqg024,7349435,209009,28835,False,False
7bfS6seiLhk,7308023,144410,5790,False,False
8BAhwgjMvnM,7227939,72979,12587,False,False
3tUCuMSPQwE,7214750,122778,7047,False,False
J41qe-TM1DY,7200045,1021328,117897,False,False
UTVpWVO4vZU,7177740,172730,20840,False,False
NaY91YjVbEM,7172963,265719,14870,False,False
9H2SSvQ8ihA,7138640,11645,590,False,False
8fbyfDbi-MI,7127666,130249,29855,False,False
qooQd8AA7_M,7095077,438470,29178,False,False
266EI7hdjFs,7080039,63371,10668,False,False
EAGhzuitLXU,7061203,203630,8943,False,False
ShZ978fBl6Y,7055170,291884,9221,False,False
6xUPaVfmcUs,7049534,143779,6294,False,False
r-3iathMo7o,6995168,143678,17444,False,False
ai_UWoM37dI,6988208,368569,103635,False,False
VaGcPRMY5UM,6944619,157423,6152,False,False
Jodbdj52Vc0,6908017,487402,25677,False,False
qQn6TsbYrH8,6891734,400420,36025,False,False
uZ1M3DkKCEI,6877412,208531,14356,False,False
GM1QDBvzm1Y,6855630,1394,132,False,False
1SnWTW6YXbE,6848484,208955,14325,False,False
0l35jAGQPOI,6841622,494130,51506,False,False
FITSPSA8gQs,6810173,373538,27732,False,False
m1-rpd3S-48,6804554,293427,15969,False,False
0XuOkYlUWIs,6760593,229250,22123,False,False
vjSohj-Iclc,6731401,86419,13443,False,False
QCjk_NPsIqU,6705850,171122,26323,False,False
v6xUgawDQB0,6657752,127028,10506,False,False
0-7wMD5ISIs,6647081,232199,16300,False,False
tEnCoocmPQM,6595340,308698,14711,False,False
PjqKPHZJgF0,6579609,133903,16639,False,False
J6R0X6NTnSw,6554859,138623,4966,False,False
7iQn-toQp6A,6535720,16788,5000,False,False
vY_5EvoL1Is,6518936,7321,872,False,False
Am6NHDbj6XA,6492425,105915,3623,False,False
WyuPSLj_6aw,6479552,266382,16609,False,False
ZQ-YX-5bAs0,6461082,70438,8690,False,False
Jcghl0lbDSk,6450575,227180,11775,False,False
5LoBGoQPUNc,6438646,124860,9283,False,False
kiE71P138rc,6427726,14693,530,False,False
PGRcxXLfWrM,6415756,111486,15504,False,False
RFywfHsFpQM,6413645,125634,0,True,False
nsZvmFUXkrI,6388743,272821,27986,False,False
